what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168749971
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168752236
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1583168756061
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1583168763544
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1583168764331
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1583168766013
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1583168766095
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1583168766104
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1583168766262
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1583168766340
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168766483
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168770305
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1583168770760
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168772466
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168786730
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168799189
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168878891
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168893403
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168895411
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168910416
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168913241
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1583168913250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168921522
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168928384
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583168980080
